,Direct Irradiance,Horizontal Irradiance,Tilt Irradiance,fips
542,4.08,4.31,4.88,47009
543,4.18,4.36,4.94,47011
544,4.08,4.25,4.81,47037
545,4.16,4.32,4.92,47059
546,4.19,4.32,4.9,47065
547,4.15,4.34,4.93,47093
548,4.22,4.35,4.91,47113
549,4.15,4.29,4.85,47119
550,4.14,4.26,4.82,47125
551,4.06,4.23,4.79,47141
552,4.14,4.25,4.81,47147
553,4.11,4.27,4.83,47149
554,3.86,4.19,4.76,47155
555,4.3,4.4,4.96,47157
556,3.93,4.21,4.8,47163
557,4.07,4.21,4.77,47165
558,3.93,4.23,4.8,47179
559,4.13,4.27,4.83,47187
560,4.05,4.23,4.78,47189
561,4.36,4.56,5.01,48005
562,4.57,4.7,5.15,48021
563,4.84,4.74,5.25,48027
564,4.71,4.77,5.22,48029
565,4.64,4.55,5.09,48037
566,4.17,4.6,4.98,48039
567,4.3,4.84,5.15,48061
568,4.93,4.68,5.27,48085
569,4.7,4.72,5.17,48091
570,5.01,4.8,5.33,48099
571,4.86,4.68,5.24,48113
572,5.14,4.77,5.39,48121
573,6.58,5.53,6.27,48135
574,7.39,5.85,6.72,48141
575,4.91,4.71,5.26,48139
576,4.49,4.8,5.23,48167
577,4.99,4.67,5.28,48181
578,4.58,4.57,5.08,48183
579,4.62,4.76,5.19,48187
580,4.2,4.55,4.97,48201
581,4.58,4.58,5.09,48203
582,4.71,4.71,5.17,48209
583,4.74,4.65,5.17,48213
584,4.99,5.05,5.42,48215
585,4.82,4.63,5.19,48231
586,4.28,4.6,5.03,48245
587,5.15,4.8,5.39,48251
588,4.85,4.69,5.23,48257
589,4.28,4.57,4.99,48291
590,4.96,4.77,5.3,48309
591,6.41,5.46,6.18,48329
592,4.25,4.56,4.99,48339
593,4.42,4.55,5.03,48347
594,4.45,4.8,5.16,48355
595,4.21,4.53,4.96,48361
596,5.31,4.86,5.48,48367
597,4.77,4.64,5.19,48397
598,4.43,4.77,5.13,48409
599,4.68,4.62,5.15,48423
600,5.14,4.79,5.38,48439
601,5.66,5.07,5.73,48441
602,5.69,5.17,5.79,48451
603,4.69,4.73,5.19,48453
604,4.29,4.66,5.03,48469
605,4.42,4.61,5.07,48471
606,5.11,5.04,5.45,48479
607,5.57,4.95,5.65,48485
608,4.82,4.75,5.23,48491
609,6.07,4.63,5.37,49005
610,6.17,4.84,5.7,49011
611,5.76,4.68,5.47,49035
612,6.0,4.76,5.51,49049
613,7.52,5.46,6.45,49053
614,5.79,4.6,5.3,49057
615,3.83,3.63,4.28,50007
616,4.29,4.23,4.95,51003
617,4.26,4.17,4.89,51013
618,4.34,4.17,4.91,51059
619,3.98,4.05,4.73,51069
620,4.36,4.27,4.99,51085
621,4.37,4.3,5.01,51087
622,4.36,4.15,4.88,51107
623,4.14,4.2,4.86,51121
624,4.43,4.35,5.04,51700
625,4.27,4.32,4.99,51710
626,4.35,4.18,4.91,51153
627,4.15,4.14,4.84,51165
628,5.31,4.3,5.14,53005
629,4.69,4.03,4.88,53007
630,3.15,3.27,3.77,53009
631,3.25,3.42,3.89,53011
632,5.4,4.29,5.16,53021
633,3.22,3.38,3.92,53029
634,2.82,3.08,3.53,53033
635,3.0,3.27,3.76,53053
636,4.78,3.95,4.72,53063
637,3.1,3.36,3.83,53067
638,3.34,3.17,3.77,53073
639,5.18,4.28,5.17,53077
640,3.83,3.99,4.63,54003
641,3.69,3.95,4.49,54039
642,3.57,3.88,4.43,54061
643,3.8,4.0,4.57,54081
644,3.72,3.96,4.53,54107
645,3.88,3.77,4.41,55009
646,4.06,3.86,4.51,55025
647,3.66,3.76,4.34,55027
648,3.84,3.72,4.34,55035
649,3.73,3.77,4.39,55039
650,3.73,3.77,4.39,55039
651,3.75,3.81,4.43,55055
652,3.66,3.83,4.37,55059
653,4.0,3.8,4.51,55063
654,3.97,3.83,4.48,55071
655,3.85,3.75,4.41,55073
656,3.72,3.83,4.38,55079
657,3.88,3.77,4.41,55087
658,3.79,3.84,4.43,55089
659,3.73,3.72,4.32,55097
660,3.67,3.82,4.36,55101
661,3.78,3.83,4.43,55105
662,3.99,3.87,4.54,55117
663,3.92,3.74,4.38,55109
664,3.92,3.74,4.38,55109
665,3.6,3.77,4.35,55127
666,3.75,3.79,4.41,55131
667,3.78,3.81,4.45,55133
668,3.72,3.75,4.34,55139
669,3.88,3.76,4.42,55141
670,5.58,4.54,5.46,56021
671,5.6,4.43,5.3,56025
